Data,HID,TER,CE_SECO,GE_SECO,DM_SECO,CI_SECO,EA_SECO,LPC_SECO,PIB
2012-01-01,217974.95,9102.65,36010.64999999999,38578.5175,43520.545,69129.62,146713.25,89.035,373143.3
2012-02-01,224396.12,13228.39,38002.9725,38678.11,46167.17750000001,69101.09,157570.0,87.19,376769.3
2012-03-01,279951.2,20605.91,37921.898,38818.62,45847.328,69224.37,157210.4,103.852,361724.6
2012-04-01,202256.36,23692.43,36153.3,39469.425,44529.71,69407.47,153252.75,105.145,378491.0
2012-05-01,195040.87,22798.46,34283.105,39595.88,43449.645,69845.39,147965.5,101.44,389560.8
2012-06-01,246430.91,12881.79,32575.098,35536.462,43327.41,70097.21,144259.2,98.638,391595.1
2012-07-01,198290.92,10366.56,32901.185,35594.38,42870.805,70647.99,136569.75,93.11,367215.4
2012-08-01,199667.9,17817.92,34781.4625,36709.9525,43253.57,70734.91,122086.5,94.05499999999999,367177.3
2012-09-01,240558.74,38600.39,35919.14200000001,38447.068,44317.612,70704.17,101130.4,100.106,392996.5
2012-10-01,185937.94,39733.96,36618.14,40011.7425,45174.8875,70819.78,79818.25,104.825,381795.3
2012-11-01,175827.8,45984.4,34674.5025,40192.4625,42928.3475,70919.42,67113.75,112.115,400281.3
2012-12-01,231187.85,54523.22,36569.61,39315.68399999999,44765.468,71115.54,58997.0,110.524,398714.5
2013-01-01,186621.66,40934.33,34766.785,35179.7425,44602.1675,71381.08,67184.75,115.82,414617.4
2013-02-01,195428.75,40498.83,36735.7725,36513.5275,46873.835,71488.9,87712.25,112.175,419906.3
2013-03-01,244610.13,45150.35,36261.202,34809.868,46042.378,71559.77,102029.2,118.882,393524.7
2013-04-01,187874.57,34246.23,33981.8475,33535.6925,44017.42,71745.5,122677.75,124.945,422672.1
2013-05-01,178167.38,41351.43,32939.26,32748.3625,43968.4625,71825.8,125193.25,127.8525,423816.4
2013-06-01,219914.2,48371.07,33118.40399999999,34091.092,44007.612,72527.02,127819.2,127.724,423195.9
2013-07-01,185572.47,31535.3,32883.53,34551.27,43521.2075,72668.57,123998.25,125.5025,414131.8
2013-08-01,235024.51,43235.98,34025.19,33770.964,44511.52,72840.29,113844.0,128.08,398645.4
2013-09-01,191584.03,36206.66,35215.1525,34100.66,45301.6025,72902.69,100294.75,119.2075,427409.8
2013-10-01,192870.12,35278.89,35156.985,34737.83,44898.3,73158.07,93436.5,118.7975,438856.8
2013-11-01,236426.12,47716.56,34865.642,36195.09,46890.558,73175.07,85127.2,121.132,439054.2
2013-12-01,194497.08,33485.28,34802.4525,37088.7925,44132.83749999999,72507.63,85133.75,122.4275,442857.0
2014-01-01,213271.13,40259.14,39159.8175,36942.3075,49105.7375,72400.91,82767.5,125.11,458458.9
2014-02-01,208213.66,49871.1,39920.03,38954.81,49954.29,72880.4,72170.5,136.0825,452862.2
2014-03-01,241091.92,64640.94,37768.182,35233.59,47739.106,73612.14,71731.6,145.552,438766.7
2014-04-01,180691.16,50028.81,34787.3475,32359.4775,45717.9475,73972.4,75174.5,164.0675,466166.0
2014-05-01,214889.44,72663.15,35351.774,32369.862,44975.10799999999,74131.4,75546.8,186.748,465693.8
2014-06-01,166239.15,54303.0,34217.7025,31179.985,44575.275,74378.6,74566.75,198.9275,473552.5
2014-07-01,165379.90000000002,56818.68,33938.965,31181.8425,43950.225,74751.66,70672.5,209.23,455935.0
2014-08-01,204796.04,78227.56,34849.148,31973.762,44587.888,75063.73,64277.2,223.25,450358.8
2014-09-01,170858.61,57903.99,36188.2475,33132.3775,45255.6825,75565.66,53449.75,168.73,462159.8
2014-10-01,172861.0,60079.19,36972.38,34749.1225,46420.2025,75768.96,42884.5,174.45,468767.5
2014-11-01,217500.91,77318.51,36594.406,34766.746,45476.15399999999,75970.96,32942.2,180.088,473347.1
2014-12-01,164947.43,61596.55,35558.88,35492.3675,44209.1975,76329.65,36388.25,183.3175,458516.5
2015-01-01,245552.06,74268.4,40824.986,36355.094,50085.628,76472.13,36260.0,186.124,481994.0
2015-02-01,188372.58,61566.97,39137.7475,34598.7675,48334.015,76816.95,40219.25,198.7175,477052.9
2015-03-01,183111.53,60364.27,37692.24,34934.1275,46525.4825,76811.97,53187.5,213.4225,476520.6
2015-04-01,166822.07,54974.5,34182.94,32751.8625,44306.815,77021.22,65479.5,211.97,493304.7
2015-05-01,205859.92,67431.23,33318.14599999999,32803.836,42865.27,77182.18,72249.8,204.938,489484.4
2015-06-01,154201.47999999998,58370.1,32563.32,31675.0625,42225.925,77719.73,73646.75,203.495,499867.7
2015-07-01,160852.13,49164.0,32867.9725,31293.635,42134.49,77700.56,75444.0,187.2325,472913.9
2015-08-01,203623.02,64869.72,34162.78,31350.93,42747.466,77860.63,71922.8,170.93,460156.7
2015-09-01,168108.38999999998,56310.24,35585.58,32489.05,45140.26,77901.57,67159.5,164.395,501752.2
2015-10-01,221210.21,67538.66,36386.748,34764.484,45817.57,78146.15,58750.4,159.29,486614.6
2015-11-01,178577.46,53935.65,36620.285,36671.065,45341.5825,78585.36,55719.5,157.1175,483239.7
2015-12-01,178155.83,48378.28,36304.13,35172.215,44110.4,78908.36,59133.75,148.365,486647.5
2016-01-01,242548.73,56276.69,37484.506,38173.88,45687.218,79294.5,79235.8,134.672,502275.2
2016-02-01,206804.76,38527.63,39044.835,38005.94,47538.1725,79418.54,101106.25,121.63,492505.7
2016-03-01,207033.02,33705.34,38436.3525,36637.5075,47199.1325,79600.04,114844.0,121.6025,496004.7
2016-04-01,177965.89,35249.21,27092.53,25666.268,46118.592,79788.08,117914.4,121.826,518828.9
2016-05-01,185993.61,32316.24,34331.3,35098.7175,42611.59,79926.86,115495.5,127.525,513819.8
2016-06-01,176193.72999999998,35908.72,32936.5425,34528.67,41532.2,80268.68,115042.75,131.3875,521918.7
2016-07-01,219999.98,43384.79,33408.984,33885.846,42128.15,80296.82,107468.2,139.288,490284.0
2016-08-01,174034.04,38757.9,34329.06,34454.1125,42709.09,81467.72,95965.0,155.7425,491011.7
2016-09-01,170056.53999999998,42665.29,34687.47,34674.795,42789.85,81734.72,86451.75,155.6775,516985.9
2016-10-01,215540.12,54119.32,35246.154,35222.728,43873.564,81762.97,73602.0,152.99,508058.7
2016-11-01,178464.74,45317.96,34618.4675,35557.75999999999,44030.955,82208.71,68361.0,153.52,513267.5
2016-12-01,245571.21,41509.16,36308.742,37686.086,44531.35400000001,82252.18,67939.8,146.866,536459.3
2017-01-01,216455.7,30226.02,39228.7675,39687.6,47287.565,82714.88,72013.75,142.9125,532947.8
2017-02-01,223134.41,30525.22,40093.8475,40494.6375,48655.1,82739.88,81420.25,148.25,534761.8
2017-03-01,213022.12,36258.87,39240.1075,40593.9875,47269.505,82754.53,84081.5,160.8275,509975.0
2017-04-01,228893.57,51028.05,35583.04,37724.182,44367.418,82793.28,84528.6,170.94,525162.7
2017-05-01,179489.82,41406.240000000005,34493.58,36173.0775,42557.025,82813.55,86255.25,175.6275,541530.7
2017-06-01,176691.28,34597.23,33769.83,31941.845,42764.5225,82877.88,86784.0,172.0325,565780.5
2017-07-01,194716.04,58750.06,32765.466,33027.28,41754.126,82960.22,80517.0,170.758,526564.7
2017-08-01,149524.08000000002,57313.9,33794.815,33879.8375,42246.3625,83113.74,69210.75,167.92,514120.5
2017-09-01,193825.48,72297.86,35538.594,35696.8,44275.442,83399.88,54256.0,159.942,544312.9
2017-10-01,155881.19,61570.26,36598.4675,35414.8925,45317.29,83429.88,38667.5,160.3675,525238.1
2017-11-01,166472.55,53666.46,35977.385,36510.9275,44474.5075,83525.1,37035.25,159.7025,548887.7
2017-12-01,231014.93,54697.6,36681.226,39253.516,44468.306,83810.31,43544.958,158.228,556787.6
2018-01-01,209224.25,33054.649999999994,39558.7675,39521.2425,48520.5675,83946.56,60776.9875,157.885,557458.2
2018-02-01,215858.4,32666.68,38700.165,38973.9025,47310.0375,83993.07,71538.5625,158.6125,555578.7
